id,ref,nombre,usd,costoAntes,costoDespues,precioAntes,precioDespues
"7936","016717082-0030","6003-Z-C3","4.659224999999999","59.41","59.41","118.82","118.82"
"2636","016717090-0000","6004","4.301805","54.85","54.85","109.7","109.7"
"7937","016717104-0040","6004-2RSR-C4","5.769779999999999","73.56","73.56","147.12","147.12"
"13934","038895072-0000","6004-2RSR-L038","4.225215","53.87","53.87","107.74","107.74"
"2635","038895072-0030","6004-2RSR-L038-C3","4.225215","53.87","53.87","107.74","107.74"
"7938","016717147-0000","6004-2Z","3.6763199999999996","46.87","46.87","93.74","93.74"
"13935","038895099-0000","6004-2Z-L038","3.6763199999999996","46.87","46.87","93.74","93.74"
"11235","038895099-0030","6004-2Z-L038-C3","3.6763199999999996","46.87","46.87","93.74","93.74"
"11236","038895099-0040","6004-2Z-L038-C4","5.067705","64.61","64.61","129.22","129.22"
"13936","016717180-0000","6004-2Z-N","6.165495000000001","78.61","78.61","157.22","157.22"
"13937","062429876-0000","6004-C","4.301805","54.85","54.85","109.7","109.7"
"10934","061837296-0000","6004-C-2HRS","4.225215","53.87","53.87","107.74","107.74"
"10936","061837296-0030","6004-C-2HRS-C3","4.225215","53.87","53.87","107.74","107.74"
"10937","094981680-0030","6004-C-2HRS-C3>V","4.225215","53.87","53.87","107.74","107.74"
"10939","095220844-0030","6004-C-2HRS-L038-C3>V","4.225215","53.87","53.87","107.74","107.74"
"10938","095220844-0000","6004-C-2HRS-L038>V","4.225215","53.87","53.87","107.74","107.74"
"10935","094981680-0000","6004-C-2HRS>V","4.225215","53.87","53.87","107.74","107.74"
"13939","061808822-0000","6004-C-2Z","3.6763199999999996","46.87","46.87","93.74","93.74"
"13941","061808822-0030","6004-C-2Z-C3","3.6763199999999996","46.87","46.87","93.74","93.74"
"13942","094982660-0030","6004-C-2Z-C3>V","3.6763199999999996","46.87","46.87","93.74","93.74"
"13943","085015466-0000","6004-C-2Z-L038","3.6763199999999996","46.87","46.87","93.74","93.74"
"11237","085015466-0030","6004-C-2Z-L038-C3","3.6763199999999996","46.87","46.87","93.74","93.74"
"11238","095220852-0030","6004-C-2Z-L038-C3>V","3.6763199999999996","46.87","46.87","93.74","93.74"
"13944","095220852-0000","6004-C-2Z-L038>V","3.6763199999999996","46.87","46.87","93.74","93.74"
"13940","094982660-0000","6004-C-2Z>V","3.6763199999999996","46.87","46.87","93.74","93.74"
"13945","062429876-0030","6004-C-C3","4.301805","54.85","54.85","109.7","109.7"
"13946","095121757-0030","6004-C-C3>V","4.301805","54.85","54.85","109.7","109.7"
"13947","062435060-0000","6004-C-HRS","5.20812","66.4","66.4","132.8","132.8"
"13948","062435060-0030","6004-C-HRS-C3","5.20812","66.4","66.4","132.8","132.8"
"13949","062435213-0000","6004-C-Z","4.82517","61.52","61.52","123.04","123.04"
"13951","062435213-0030","6004-C-Z-C3","4.82517","61.52","61.52","123.04","123.04"
"13952","095121722-0030","6004-C-Z-C3>V","4.82517","61.52","61.52","123.04","123.04"
"13950","095121722-0000","6004-C-Z>V","4.82517","61.52","61.52","123.04","123.04"
"7939","016717090-0030","6004-C3","4.301805","54.85","54.85","109.7","109.7"
"13938","095121757-0000","6004-C>V","4.301805","54.85","54.85","109.7","109.7"
"13953","019091230-0000","6004-TB","18.534779999999998","236.32","236.32","472.64","472.64"
"13954","038448270-0030","6004-TB-P6-C3","19.696395","251.13","251.13","502.26","502.26"
"7940","016717228-0000","6004-Z","4.82517","61.52","61.52","123.04","123.04"
"13955","016717236-0000","6004-Z-THB","12.420345000000001","158.36","158.36","316.72","316.72"
"7941","016717244-0000","6005","4.95282","63.15","63.15","126.3","126.3"
"7942","016717252-0000","6005-2RSR","4.888995","62.33","62.33","124.66","124.66"
"7943","016717252-0030","6005-2RSR-C3","4.888995","62.33","62.33","124.66","124.66"
"13956","038913445-0000","6005-2RSR-L038","4.888995","62.33","62.33","124.66","124.66"
"11239","038913445-0030","6005-2RSR-L038-C3","4.888995","62.33","62.33","124.66","124.66"
"7944","016717279-0000","6005-2Z","4.225215","53.87","53.87","107.74","107.74"
"7945","016717279-0020","6005-2Z-C2","6.420795","81.87","81.87","163.74","163.74"
"7946","016717279-0030","6005-2Z-C3","4.225215","53.87","53.87","107.74","107.74"
"13957","038895161-0000","6005-2Z-L038","4.225215","53.87","53.87","107.74","107.74"
"11240","038895161-0020","6005-2Z-L038-C2","6.420795","81.87","81.87","163.74","163.74"
"11241","038895161-0030","6005-2Z-L038-C3","4.225215","53.87","53.87","107.74","107.74"
"11242","038895161-4030","6005-2Z-L038-C3-J22R","6.28038","80.07","80.07","160.14","160.14"
"13958","019002629-0000","6005-2Z-N","6.420795","81.87","81.87","163.74","163.74"
"13959","068974736-0000","6005-2Z-N-L038","6.420795","81.87","81.87","163.74","163.74"
"11243","098617630-0030","6005-B-2Z-L038-C3","4.225215","53.87","53.87","107.74","107.74"
"10942","095220968-0030","6005-C-2HRS-L038-C3>V","4.888995","62.33","62.33","124.66","124.66"
"10941","095220968-0000","6005-C-2HRS-L038>V","4.888995","62.33","62.33","124.66","124.66"
"10940","094982694-0000","6005-C-2HRS>V","4.888995","62.33","62.33","124.66","124.66"
"11244","095220976-0020","6005-C-2Z-L038-C2>V","7.48029","95.37","95.37","190.74","190.74"
"11245","095220976-0030","6005-C-2Z-L038-C3>V","4.225215","53.87","53.87","107.74","107.74"
"13961","095220976-0000","6005-C-2Z-L038>V","4.225215","53.87","53.87","107.74","107.74"
"13962","094982678-0030","6005-C-C3>V","4.95282","63.15","63.15","126.3","126.3"
"13964","095212949-0030","6005-C-HRS-C3>V","6.420795","81.87","81.87","163.74","163.74"
"13963","095212949-0000","6005-C-HRS>V","6.420795","81.87","81.87","163.74","163.74"
"13966","095220984-0030","6005-C-Z-C3>V","5.33577","68.03","68.03","136.06","136.06"
"13965","095220984-0000","6005-C-Z>V","5.33577","68.03","68.03","136.06","136.06"
"7947","016717244-0030","6005-C3","4.95282","63.15","63.15","126.3","126.3"
"7948","016717244-0040","6005-C4","5.74425","73.24","73.24","146.48","146.48"
"13960","094982678-0000","6005-C>V","4.95282","63.15","63.15","126.3","126.3"
"13967","038448343-0030","6005-MA-C3","11.041725000000001","140.78","140.78","281.56","281.56"
"13968","016717317-0000","6005-N","6.880335","87.72","87.72","175.44","175.44"
"7949","019091532-0000","6005-RSR","6.420795","81.87","81.87","163.74","163.74"
"7950","019091532-0030","6005-RSR-C3","6.420795","81.87","81.87","163.74","163.74"
"13969","019091567-0000","6005-TB","20.88354","266.27","266.27","532.54","532.54"
"13970","038448360-0030","6005-TB-P6-C3","22.325984999999996","284.66","284.66","569.32","569.32"
"7951","016717333-0000","6005-Z","5.33577","68.03","68.03","136.06","136.06"
"7952","016717333-0030","6005-Z-C3","5.33577","68.03","68.03","136.06","136.06"
"7953","016717341-0000","6006","5.667660000000001","72.26","72.26","144.52","144.52"
"7954","016717350-0000","6006-2RSR","5.935725000000001","75.68","75.68","151.36","151.36"
"7955","016717350-0030","6006-2RSR-C3","5.935725000000001","75.68","75.68","151.36","151.36"
"13971","038913429-0000","6006-2RSR-L038","5.935725000000001","75.68","75.68","151.36","151.36"
"11246","038913429-0030","6006-2RSR-L038-C3","5.935725000000001","75.68","75.68","151.36","151.36"
"13972","019091630-0000","6006-2RSR-N","9.982230000000001","127.27","127.27","254.54","254.54"
"7956","016717376-0000","6006-2Z","5.13153","65.43","65.43","130.86","130.86"
"7957","016717376-0030","6006-2Z-C3","5.13153","65.43","65.43","130.86","130.86"
"13973","038907372-0000","6006-2Z-L038","5.13153","65.43","65.43","130.86","130.86"
"11247","038907372-0030","6006-2Z-L038-C3","5.13153","65.43","65.43","130.86","130.86"
"13974","038284910-0030","6006-2Z-TVH-C3","7.454759999999999","95.05","95.05","190.1","190.1"
"10945","095561374-0030","6006-C-2HRS-L038-C3>V","5.935725000000001","75.68","75.68","151.36","151.36"
"10944","095561374-0000","6006-C-2HRS-L038>V","5.935725000000001","75.68","75.68","151.36","151.36"
