sap,desc,familia,usd,costo,precio,marca
"019006063-0000","2219-M","Autoalineantes","330.23055","4210.44","8420.88","FAG"
"019006063-0030","2219-M-C3","Autoalineantes","330.23055","4210.44","8420.88","FAG"
"038438364-0000","2220-K-M","Autoalineantes","352.224645","4490.86","8981.73","FAG"
"038438364-0030","2220-K-M-C3","Autoalineantes","352.224645","4490.86","8981.73","FAG"
"019006080-0000","2220-M","Autoalineantes","352.224645","4490.86","8981.73","FAG"
"019006080-0030","2220-M-C3","Autoalineantes","352.224645","4490.86","8981.73","FAG"
"038472708-0030","2222-K-M-C3","Autoalineantes","416.48365499999994","5310.17","10620.33","FAG"
"019017928-0000","2222-M","Autoalineantes","416.48365499999994","5310.17","10620.33","FAG"
"019017928-0030","2222-M-C3","Autoalineantes","416.48365499999994","5310.17","10620.33","FAG"
"016710401-0000","30202-A","Cónicos","10.59495","135.09","270.17","FAG"
"094633495-0000","30202-A>A","Cónicos","10.59495","135.09","270.17","FAG"
"016710428-0000","30203-A","Cónicos","12.20334","155.59","311.19","FAG"
"054438764-0000","30203-DY","Cónicos","12.20334","155.59","311.19","FAG"
"016710444-0000","30204-A","Cónicos","11.654445000000003","148.59","297.19","FAG"
"054439469-0000","30204-DY","Cónicos","11.654445000000003","148.59","297.19","FAG"
"016710460-0000","30205-A","Cónicos","12.011865","153.15","306.3","FAG"
"054439493-0000","30205-DY","Cónicos","12.011865","153.15","306.3","FAG"
"078364485-0000","30205-XL","Cónicos","12.011865","153.15","306.3","FAG"
"016710487-0000","30206-A","Cónicos","13.505370000000003","172.19","344.39","FAG"
"016710509-0000","30207-A","Cónicos","15.19035","193.68","387.35","FAG"
"082279705-0000","30207-XL","Cónicos","15.19035","193.68","387.35","FAG"
"016710525-0000","30208-A","Cónicos","17.960355","228.99","457.99","FAG"
"085878987-0000","30208-XL","Cónicos","17.960355","228.99","457.99","FAG"
"016710550-0000","30209-A","Cónicos","22.606815","288.24","576.47","FAG"
"039226328-0000","30209-DY","Cónicos","22.606815","288.24","576.47","FAG"
"016710576-0000","30210-A","Cónicos","24.751335","315.58","631.16","FAG"
"095640100-0000","30210-A>A","Cónicos","24.751335","315.58","631.16","FAG"
"053931866-0000","30210-DY","Cónicos","24.751335","315.58","631.16","FAG"
"016710592-0000","30211-A","Cónicos","33.712365","429.83","859.67","FAG"
"095640614-0000","30211-A>A","Cónicos","33.712365","429.83","859.67","FAG"
"053932234-0000","30211-DY","Cónicos","33.712365","429.83","859.67","FAG"
"016710606-0000","30212-A","Cónicos","38.83113000000001","495.1","990.19","FAG"
"079294677-0000","30212-XL","Cónicos","38.83113000000001","495.1","990.19","FAG"
"016710614-0000","30213-A","Cónicos","49.987739999999995","637.34","1274.69","FAG"
"095642579-0000","30213-A>A","Cónicos","49.987739999999995","637.34","1274.69","FAG"
"016710622-0000","30214-A","Cónicos","49.40055","629.86","1259.71","FAG"
"088383415-0000","30214-XL","Cónicos","49.40055","629.86","1259.71","FAG"
"088390233-0000","30214-XL-P5","Cónicos","69.16077","881.8","1763.6","FAG"
"016710630-0000","30215-A","Cónicos","55.093740000000004","702.45","1404.89","FAG"
"016710649-0000","30216-A","Cónicos","65.05044","829.39","1658.79","FAG"
"016710657-0000","30217-A","Cónicos","77.39419500000001","986.78","1973.55","FAG"
"016710665-0000","30218-A","Cónicos","97.49906999999999","1243.11","2486.23","FAG"
"095657240-0000","30218-A>A","Cónicos","97.49906999999999","1243.11","2486.23","FAG"
"019052626-0000","30218-A-P5","Cónicos","136.45785","1739.84","3479.68","FAG"
"016710681-0000","30219-A","Cónicos","122.556765","1562.6","3125.2","FAG"
