sap,desc,usd,precio_mxn,familia,marca
"021940177-0000","=-T-LASER-INLINE.POST115","50.99617500000001","1300.40","(otros)","SCHAEFFLER"
"021940207-0000","=-T-LASER-INLINE.POST150","65.76528","1677.01","(otros)","SCHAEFFLER"
"021940215-0000","=-T-LASER-INLINE.POST200","73.61575500000001","1877.20","(otros)","SCHAEFFLER"
"021940223-0000","=-T-LASER-INLINE.POST250","83.929875","2140.21","(otros)","SCHAEFFLER"
"021940231-0000","=-T-LASER-INLINE.POST300","93.05685000000001","2372.95","(otros)","SCHAEFFLER"
"019210850-0000","=-T-LASER-INLINE.REFLECT","901.962135","23000.03","(otros)","SCHAEFFLER"
"039698220-0000","=-T-LASER-INLINE.SOFTW","3522.34857","89819.89","(otros)","SCHAEFFLER"
"019210884-0000","=-T-LASER-INLINE.TRANS","4646.07705","118474.96","(otros)","SCHAEFFLER"
"066026083-0000","=-T-LASER-INLINE2","12500.2539","318756.47","(otros)","SCHAEFFLER"
"067052347-0000","=-T-LASER-INLINE2.CASE","99.10746","2527.24","(otros)","SCHAEFFLER"
"066098246-0000","=-T-LASER-INLINE2.TAPE","1713.08853","43683.76","(otros)","SCHAEFFLER"
